Word,Difficulty,Word_length,Word_type,Definition,Hint,Times_played,Win_counter
COMPLICATED,HARD,11,Verb,make more complicated,Hard or difficult,0,0
CORRODE,MEDIUM,7,Verb,"cause to deteriorate due to the action of water, air, or an acid",Iron,0,0
CORRODED,MEDIUM,8,Verb,"cause to deteriorate due to the action of water, air, or an acid",Rusty,0,0
CORRUPTIVE,HARD,10,Adjective,tending to corrupt or pervert,Act to corrupt,0,0
COTTONS,MEDIUM,7,Noun,soft silky fibers from cotton plants in their raw state,Material,0,0
COUGARS,MEDIUM,7,Noun,large American feline resembling a lion,Animal,0,0
CRUMBLY,MEDIUM,7,Adjective,easily broken into small fragments or reduced to powder,Breadcrumbs,0,0
CRYPTOBIOTIC,EXPERT,12,Adjective,of or related to the state of cryptobiosis,Crypto,0,0
DAEMONS,EXPERT,7,Noun,an evil supernatural being,Supernatural being,0,0
DANDELIONS,HARD,10,Noun,any of several herbs of the genus Taraxacum having long tap roots and deeply notched leaves and bright yellow flowers followed by fluffy seed balls,flower,0,0
DEATH,EASY,5,Noun,the event of dying or departure from life,Inevitable,0,0
DIAGONALLY,HARD,10,Adverb,in a diagonal manner,slant,0,0
DIARIES,MEDIUM,7,Noun,a daily written record of (usually personal,Personal,0,0
DIGGING,MEDIUM,7,Noun,the act of digging,Making Holes,0,0
DISILLUSIONED,HARD,13,Verb,free from enchantment,Break spell,0,0
DITCH,EASY,5,Noun,a long narrow excavation in the earth,Hole,0,0
DUSTERS,MEDIUM,7,Noun,a windstorm that lifts up clouds of dust or sand,Cleaner,0,0
DUTIFUL,MEDIUM,7,Adjective,willingly obedient out of a sense of duty and respect,Ones job,0,0
EAGER,EASY,5,Noun,a high wave (often dangerous,Keen,0,0
EAGLE,EASY,5,Noun,any of various large keen-sighted diurnal birds of prey noted for their broad wings and strong soaring flight,A Bird,0,0
EARACHE,MEDIUM,7,Noun,an ache localized in the middle or inner ear,Discomfort,0,0
EARSPLITTING,HARD,12,Adjective,loud enough to cause (temporary,Loud,0,0
EARTHWORMS,HARD,10,Noun,terrestrial worm that burrows into and helps aerate soil; often surfaces when the ground is cool or wet; used as bait by anglers,Animal,0,0
EDUCATIONAL,HARD,11,Adjective,relating to the process of education,Learning,0,0
ELECTRICITY,HARD,11,Noun,a physical phenomenon associated with stationary or moving electrons and protons,Flowing through cables,0,0
ELITISM,MEDIUM,7,Noun,the attitude that society should be governed by an elite group of individuals,High horse,0,0
ENGINES,MEDIUM,7,Noun,motor that converts thermal energy to mechanical work,Mechanical,0,0
ENRICHMENT,HARD,10,Noun,act of making fuller or more meaningful or rewarding,To deepen,0,0
ENVIRONMENT,HARD,11,Noun,the totality of surrounding conditions,The surroundings,0,0
EXPLORE,MEDIUM,7,Verb,inquire into,Chart Unknowns,0,0
FABLE,EASY,5,Noun,a deliberately false or improbable account,Story,0,0
FABRICATES,HARD,10,Verb,put together out of artificial or natural components or parts,Making,0,0
FABRICATING,HARD,11,Verb,put together out of artificial or natural components or parts,Creating,0,0
FACED,EASY,5,Verb,deal with (something unpleasant,Direction,0,0
FACED,EASY,5,Verb,deal with (something unpleasant,A direction,0,0
FACIA,EASY,5,Noun,a sheet or band of fibrous connective tissue separating or binding together muscles and organs etc,Building,0,0
FIFTY,EASY,5,Noun,the cardinal number that is the product of ten and five,Number,0,0
FLAIL,EASY,5,Noun,an implement consisting of handle with a free swinging stick at the end; used in manual threshing,Medievil weapon,0,0
FLIRT,EASY,5,Noun,a seductive woman who uses her sex appeal to exploit men,Love,0,0
FLOOD,EASY,5,Noun,the rising of a body of water and its overflowing onto normally dry land,Water,0,0
FLOOR,EASY,5,Noun,"the inside lower horizontal surface (as of a room, hallway, tent, or other structure",Down,0,0
FLY,EXPERT,3,Noun,two-winged insects characterized by active flight,Animal,0,0
FUNGI,EASY,5,Noun,"the taxonomic kingdom including yeast, molds, smuts, mushrooms, and toadstools; distinct from the green plants",Plant,0,0
FUNNY,EXPERT,5,Noun,an account of an amusing incident (usually with a punch line,Amusing,0,0
FUZZ,EXPERT,4,Noun,filamentous hairlike growth on a plant,Hairlike,0,0
GLOOM,EASY,5,Noun,a state of partial or total darkness,Sadness,0,0
GONDOLA,MEDIUM,7,Noun,a low flat-bottomed freight car with fixed sides but no roof,Boat,0,0
GREEN,EASY,5,Noun,green color or pigment; resembling the color of growing grass,Color,0,0
GRIFFIN,MEDIUM,7,Noun,winged monster with the head of an eagle and the body of a lion,Mythic creature,0,0
HABITAT,MEDIUM,7,Noun,the type of environment in which an organism or group normally lives or occurs,Home,0,0
HAPPY,EASY,5,Adjective,enjoying or showing or marked by joy or pleasure,Smile,0,0
HEROINE,MEDIUM,7,Noun,the main good female character in a work of fiction,Hero,0,0
HEX,EXPERT,3,Noun,an evil spell,Evil Spell,0,0
HIEROGLYPHS,HARD,11,Noun,writing that resembles hieroglyphics (usually by being illegible,Ancient Writing,0,0
HORSE,EASY,5,Noun,solid-hoofed herbivorous quadruped domesticated since prehistoric times,Animal,0,0
HOSPITALITY,HARD,11,Noun,kindness in welcoming guests or strangers,Welcoming guests,0,0
HUMPING,MEDIUM,7,Verb,round one's back by bending forward and drawing the shoulders forward,Intercourse,0,0
HYDROGEN,EXPERT,8,Noun,a nonmetallic univalent element that is normally a colorless and odorless highly flammable diatomic gas; the simplest and lightest and most abundant element in the universe,Element,0,0
ICEBOX,EXPERT,6,Noun,white goods in which food can be stored at low temperatures,Cooler,0,0
ICECAPS,MEDIUM,7,Noun,"a mass of ice and snow that permanently covers a large area of land (e.g., the polar regions or a mountain peak",Antartic,0,0
ICHOR,EXPERT,5,Noun,(Greek mythology,Greek Mythology,0,0
IDEOLOGICAL,HARD,11,Adjective,of or pertaining to or characteristic of an orientation that characterizes the thinking of a group or nation,Group Idea,0,0
IGLOO,EASY,5,Noun,an Eskimo hut; usually built of blocks (of sod or snow,Ice,0,0
IMAGINATION,HARD,11,Noun,the formation of a mental image of something that is not perceived as real and is not present to the senses,Brains escape,0,0
IMMOBILITY,EXPERT,10,Noun,remaining in place,Still,0,0
INDEX,EXPERT,5,Noun,a numerical scale used to compare variables with one another or with some reference number,Label,0,0
INDULGE,MEDIUM,7,Verb,give free rein to,Treat,0,0
INGOT,EXPERT,5,Noun,metal that is cast in the shape of a block for convenient handling,Bar,0,0
INPUT,EASY,5,Noun,signal going into an electronic system,Infomation,0,0
IVORY,EXPERT,5,Noun,a hard smooth ivory colored dentine that makes up most of the tusks of elephants and walruses,White,0,0
JADED,EASY,5,Verb,lose interest or become bored with something or somebody,Worn out,0,0
JAMMING,MEDIUM,7,Noun,deliberate radiation or reflection of electromagnetic energy for the purpose of disrupting enemy use of electronic devices or systems,Musical improvisation,0,0
JAZZ,EXPERT,4,Noun,empty rhetoric or insincere or exaggerated talk,Music,0,0
JIGSAWS,MEDIUM,7,Noun,a portable power saw with a reciprocating blade; can be used with a variety of blades depending on the application and kind of cut; generally have a plate that rides on the surface that is being cut,Puzzles,0,0
JIUJITSU,EXPERT,8,Noun,a method of self-defense without weapons that was developed in China and Japan; holds and blows are supplemented by clever use of the attacker's own weight and strength,Martial Art,0,0
JOINT,EASY,5,Noun,(anatomy,Connection,0,0
JOUST,EXPERT,5,Noun,a combat between two mounted knights tilting against each other with blunted lances,Medieval Combat,0,0
JUROR,EASY,5,Noun,someone who serves (or waits to be called to serve,Law,0,0
KARAOKE,MEDIUM,7,Noun,singing popular songs accompanied by a recording of an orchestra (usually in bars or nightclubs,Bad singing,0,0
KIOSK,EXPERT,5,Noun,small area set off by walls for special use,Checkout,0,0
KNIGHTS,EXPERT,7,Noun,originally a person of noble birth trained to arms and chivalry; today in Great Britain a person honored by the sovereign for personal merit,Mediavil,0,0
KNITTED,MEDIUM,7,Verb,make (textiles,Wool Hobby,0,0
LABEL,EASY,5,Noun,a brief description given for purposes of identification,A tag,0,0
LABOR,EASY,5,Noun,a social class comprising those who do manual labor or work for wages,Hard work,0,0
LACED,EASY,5,Verb,"spin, wind, or twist together",Shoes,0,0
LACTOSE,MEDIUM,7,Noun,a sugar comprising one glucose molecule linked to a galactose molecule; occurs only in milk,Dairy,0,0
LARVA,EXPERT,5,Noun,the immature free-living form of most invertebrates and amphibians and fish which at hatching from the egg is fundamentally unlike its parent and must metamorphose,Pre Metamorphosis,0,0
LARYNX,EXPERT,6,Noun,a cartilaginous structure at the top of the trachea; contains elastic vocal cords that are the source of the vocal tone in speech,Body Part,0,0
LASSO,EASY,5,Noun,Belgian composer (1532-1594,Cowboy,0,0
LEAPFROGGED,HARD,11,Verb,jump across,Jump Over,0,0
LUX,EXPERT,3,Noun,a unit of illumination equal to 1 lumen per square meter; 0.0929 foot candle,Light,0,0
LYMPH,EXPERT,5,Noun,a thin coagulable fluid (similar to plasma but,Node,0,0
MACAW,EASY,5,Noun,long-tailed brilliantly colored parrot of Central America and South America; among the largest and showiest of parrots,A bird,0,0
MAGNIFICENT,HARD,11,Adjective,characterized by grandeur,Impressive,0,0
MARSHMALLOW,HARD,11,Noun,spongy confection made of gelatin and sugar and corn syrup and dusted with powdered sugar,Sweet,0,0
MEGAHERTZ,EXPERT,9,Noun,one million periods per second,Frequency,0,0
MERCY,EASY,5,Noun,leniency and compassion shown toward offenders by a person or agency charged with administering justice,Forgiveness,0,0
MINDFUL,MEDIUM,7,Adjective,bearing in mind; attentive to,Thoughtful,0,0
MISANTHROPY,HARD,11,Noun,hatred of mankind,Hatred,0,0
MISCHIEF,EXPERT,8,Noun,reckless or malicious behavior that causes discomfort or annoyance in others,Naughty,0,0
MOUSE,EASY,5,Noun,any of numerous small rodents typically resembling diminutive rats having pointed snouts and small ears on elongated bodies with slender usually hairless tails,Animal,0,0
MULTIVITAMIN,HARD,12,Noun,a pill or tablet containing several vitamins,Nutrients,0,0
MYSTIFY,EXPERT,7,Verb,be a mystery or bewildering to,Confused,0,0
NACHO,EASY,5,Noun,a tortilla chip topped with cheese and chili-pepper and broiled,Food,0,0
NAMELESSNESSES,EXPERT,14,Noun,the state of being anonymous,Anonymous,0,0
NARCISSISM,HARD,10,Noun,an exceptional interest in and admiration for yourself,Self Centered,0,0
NECKS,EASY,5,Noun,the part of an organism (human or animal,Body,0,0
OASIS,EASY,5,Noun,a fertile tract in a desert (where the water table approaches the surface,Mirage,0,0
OATCAKE,MEDIUM,7,Noun,thin flat unleavened cake of baked oatmeal,Food,0,0
OBFUSCATION,HARD,11,Noun,confusion resulting from failure to understand,To confuse,0,0
ODIUM,EXPERT,5,Noun,state of disgrace resulting from detestable behavior,Disgrace,0,0
ONYX,EXPERT,4,Noun,a chalcedony with alternating black and white bands; used in making cameos,Gem,0,0
OSTRICH,MEDIUM,7,Noun,a person who refuses to face reality or recognize the truth (a reference to the popular notion that the ostrich hides from danger by burying its head in the sand,Animal,0,0
OUTLOOK,MEDIUM,7,Noun,a habitual or characteristic mental attitude that determines how you will interpret and respond to situations,View,0,0
OZONE,EASY,5,Noun,a colorless gas (O3,Around the globe,0,0
PACER,EASY,5,Noun,a horse used to set the pace in racing,Pace setter,0,0
PACES,EASY,5,Noun,the rate of moving (especially walking or running,Steps,0,0
PACKRAT,MEDIUM,7,Noun,a collector of miscellaneous useless objects,Collector,0,0
PACKS,EASY,5,Noun,a large indefinite number,Containers,0,0
PAGES,EASY,5,Noun,one side of one leaf (of a book or magazine or newspaper or letter etc,Book,0,0
PAINSTAKING,HARD,11,Adjective,characterized by extreme care and great effort,Hard Work,0,0
PERSONALITY,HARD,11,Noun,"the complex of all the attributes--behavioral, temperamental, emotional and mental--that characterize a unique individual",Persons Behaviour,0,0
PETITIONING,HARD,11,Verb,write a petition for something to somebody; request formally and in writing,Voting,0,0
PHLEGM,EXPERT,6,Noun,apathy demonstrated by an absence of emotional reactions,Cough,0,0
PHOTOSYNTHESIS,EXPERT,14,Noun,synthesis of compounds with the aid of radiant energy (especially in plants,Scientific process,0,0
PNEUMONIA,EXPERT,9,Noun,respiratory disease characterized by inflammation of the lung parenchyma (excluding the bronchi,Disease,0,0
PRANKED,MEDIUM,7,Verb,dress or decorate showily or gaudily,A joke,0,0
PUDDING,MEDIUM,7,Noun,any of various soft thick unsweetened baked dishes,Food,0,0
QUARK,EXPERT,5,Noun,(physics,Particle,0,0
QUARRELSOME,HARD,11,Adjective,given to quarreling,Arguing,0,0
QUILL,EASY,5,Noun,pen made from a bird's feather,Feather,0,0
RABID,EASY,5,Adjective,of or infected by rabies,Diseased,0,0
REEDS,EASY,5,Noun,tall woody perennial grasses with hollow slender stems especially of the genera Arundo and Phragmites,Plant,0,0
RESERVATION,HARD,11,Noun,a district that is reserved for particular purpose,Quiet,0,0
RHYTHMIC,EXPERT,8,Adjective,recurring with measured regularity,Musical,0,0
RHYTHMS,EXPERT,7,Noun,the basic rhythmic unit in a piece of music,Musical,0,0
ROBIN,EASY,5,Noun,small Old World songbird with a reddish breast,Animal,0,0
ROYAL,EASY,5,Noun,a sail set next above the topgallant on a royal mast,King,0,0
SEDUCTIVELY,HARD,11,Adverb,in a tempting seductive manner,Charm,0,0
SEMICIRCLE,HARD,10,Noun,a plane figure with the shape of half a circle,Shape,0,0
SIXTY,EASY,5,Noun,the cardinal number that is the product of ten and six,Number,0,0
SOMEONE,MEDIUM,7,Noun,a human being,A Person,0,0
SPECTACULAR,HARD,11,Noun,a lavishly produced performance,Impressive,0,0
SPORTSMANSHIP,EXPERT,13,Noun,fairness in following the rules of the game,Fairplay,0,0
STRANGULATION,EXPERT,13,Noun,the act of suffocating,Stop breathing,0,0
STUMPED,MEDIUM,7,Verb,cause to be perplexed or confounded,Stuck,0,0
SUBTRACTION,HARD,11,Noun,an arithmetic operation in which the difference between two numbers is calculated,Removal,0,0
SURDS,EXPERT,5,Noun,a consonant produced without sound from the vocal cords,Mathematical term,0,0
SUSHI,EASY,5,Noun,rice (with raw fish,Food,0,0
TABERNACLE,HARD,10,Noun,the Mormon temple,Altar,0,0
TACKLED,MEDIUM,7,Verb,accept as a challenge,Brought down,0,0
TAXIDERMIST,HARD,11,Noun,a craftsman who stuffs and mounts the skins of animals for display,Death,0,0
TEMPERATURE,HARD,11,Noun,the degree of hotness or coldness of a body or environment (corresponding to its molecular activity,Hot or Cold,0,0
TIGER,EASY,5,Noun,a fierce or audacious person,Animal,0,0
TILTING,MEDIUM,7,Verb,to incline or bend from a vertical position,Slant,0,0
TONIGHT,MEDIUM,7,Noun,the present or immediately coming night,Dinner Time,0,0
TREMBLE,MEDIUM,7,Noun,a reflex motion caused by cold or fear or excitement,Shake,0,0
TWILIGHT,MEDIUM,8,Noun,the time of day immediately following sunset,After Eight,0,0
TYPOS,EASY,5,Noun,a mistake in printed matter resulting from mechanical failures of some kind,Mistakes,0,0
TYRES,EASY,5,Noun,a port in southern Lebanon on the Mediterranean Sea; formerly a major Phoenician seaport famous for silks,Circles,0,0
UNDESIRABLY,HARD,11,Adverb,in an undesirable manner,Not liked,0,0
UNIVERSE,MEDIUM,8,Noun,everything that exists anywhere,Everything,0,0
VACCINATION,HARD,11,Noun,taking a vaccine as a precaution against contracting a disease,Prevent disease,0,0
VACCINATION,HARD,11,Noun,taking a vaccine as a precaution against contracting a disease,Disease prevention,0,0
VENTRILOQUISMS,EXPERT,14,Noun,the art of projecting your voice so that it seems to come from another source (as from a ventriloquist's dummy,Quiet speech,0,0
VERB,EXPERT,4,Noun,the word class that serves as the predicate of a sentence,Word type,0,0
VERTEX,EXPERT,6,Noun,the point of intersection of lines or the point opposite the base of a figure,Corner,0,0
VERTICES,EXPERT,8,Noun,the point of intersection of lines or the point opposite the base of a figure,Corner,0,0
VOODOO,EXPERT,6,Noun,a charm superstitiously believed to embody magical powers,Magical Curse,0,0
VORTEX,EXPERT,6,Noun,the shape of something rotating rapidly,Shape,0,0
WADDLED,MEDIUM,7,Verb,walk unsteadily,Gait,0,0
WALES,EASY,5,Noun,a raised mark on the skin (as produced by the blow of a whip,Country,0,0
WALKS,EASY,5,Noun,the act of traveling by foot,Movement,0,0
WATER,EASY,5,Noun,binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent,Thirsty,0,0
WAX,EXPERT,3,Noun,any of various substances of either mineral origin or plant or animal origin; they are solid at normal temperatures and insoluble in water,Bee,0,0
WEBSITE,MEDIUM,7,Noun,a computer connected to the internet that maintains a series of web pages on the World Wide Web,WWW,0,0
WEIGHTLIFTING,EXPERT,13,Noun,bodybuilding by exercise that involves lifting weights,Hobby,0,0
WHALE,EASY,5,Noun,a very large person; impressive in size or qualities,Animal,0,0
WHISKEY,EXPERT,7,Noun,a liquor made from fermented mash of grain,Draink,0,0
WIMP,EXPERT,4,Noun,"a person who lacks confidence, is irresolute and wishy-washy",Weak,0,0
WINDOWS,MEDIUM,7,Noun,a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air,View,0,0
WORLD,EASY,5,Noun,everything that exists anywhere,Home,0,0
WYVERN,EXPERT,6,Noun,a fire-breathing dragon used in medieval heraldry; had the head of a dragon and the tail of a snake and a body with wings and two legs,Mythical Creature,0,0
ZEALOTS,MEDIUM,7,Noun,a member of an ancient Jewish sect in Judea in the first century who fought to the death against the Romans and who killed or persecuted Jews who collaborated with the Romans,Religious figures,0,0
ZEUS,EXPERT,4,Noun,Greek mythology,Greek mythology,0,0
ZOOMING,MEDIUM,7,Verb,move along very quickly,Quickly,0,0
